birdId,birdName,scientificName
462,Black Cuckoo,Cuculus clamosus
463,Barred Long-tailed Cuckoo,Cercococcyx montanus
464,Thick-billed Cuckoo,Pachycoccyx audeberti
465,Jacobin Cuckoo,Clamator jacobinus
466,Levaillant's Cuckoo,Clamator levaillantii
467,Great Spotted Cuckoo,Clamator glandarius
468,Diederik Cuckoo,Chrysococcyx caprius
469,Klaas's Cuckoo,Chrysococcyx klaas
470,African Emerald Cuckoo,Chrysococcyx cupreus
471,Lilac-breasted Roller,Coracias caudatus
472,Racket-tailed Roller,Coracias spatulatus
473,European Roller,Coracias garrulus
474,Purple Roller,Coracias naevius
475,Broad-billed Roller,Eurystomus glaucurus
476,Giant Kingfisher,Megaceryle maxima
477,Pied Kingfisher,Ceryle rudis
478,Half-collared Kingfisher,Alcedo semitorquata
479,Malachite Kingfisher,Corythornis cristatus
480,African Pygmy Kingfisher,Ispidina picta
481,Woodland Kingfisher,Halcyon senegalensis
482,Mangrove Kingfisher,Halcyon senegaloides
483,Brown-hooded Kingfisher,Halcyon albiventris
484,Striped Kingfisher,Halcyon chelicuti
485,Grey-headed Kingfisher,Halcyon leucocephala
486,Swallow-tailed Bee-eater,Merops hirundineus
487,Little Bee-eater,Merops pusillus
488,Böhm's Bee-eater,Merops boehmi
489,White-throated Bee-eater,Merops albicollis
490,European Bee-eater,Merops apiaster
491,Blue-cheeked Bee-eater,Merops persicus
492,Olive Bee-eater,Merops superciliosus
493,White-fronted Bee-eater,Merops bullockoides
494,Southern Carmine Bee-eater,Merops nubicoides
495,Northern Carmine Bee-eater,Merops nubicus
496,Rosy Bee-eater,Merops malimbicus
497,African Hoopoe,Upupa (epops) africana
498,Green Wood Hoopoe,Phoeniculus purpureus
499,Violet Wood Hoopoe,Phoeniculus damarensis
500,Common Scimitarbill,Rhinopomastus cyanomelas
501,Trumpeter Hornbill,Bycanistes bucinator
502,Silvery-cheeked Hornbill,Bycanistes brevis
503,Monteiro's Hornbill,Tockus monteiri
504,Bradfield's Hornbill,Lophoceros bradfieldi
505,Crowned Hornbill,Lophoceros alboterminatus
506,African Grey Hornbill,Lophoceros nasutus
507,Southern Yellow-billed Hornbill,Tockus leucomelas
508,Southern Red-billed Hornbill,Tockus rufirostris
509,Damara Red-billed Hornbill,Tockus damarensis
510,Cape Parrot,Poicephalus robustus
511,Grey-headed Parrot,Poicephalus fuscicollis
512,Brown-headed Parrot,Poicephalus cryptoxanthus
513,Meyer's Parrot,Poicephalus meyeri
514,Rüppell's Parrot,Poicephalus rueppellii
515,Rosy-faced Lovebird,Agapornis roseicollis
516,Lilian's Lovebird,Agapornis lilianae
517,Black-cheeked Lovebird,Agapornis nigrigenis
518,Rose-ringed Parakeet,Psittacula krameri
519,Narina Trogon,Apaloderma narina
520,House Crow,Corvus splendens
521,Cape Crow,Corvus capensis
522,Pied Crow,Corvus albus
523,White-necked Raven,Corvus albicollis
524,African Black Swift,Apus barbatus
525,Common Swift,Apus apus
526,Bradfield's Swift,Apus bradfieldi
527,Forbes-Watson's Swift,Apus berliozi
528,Alpine Swift,Tachymarptis melba
529,Mottled Swift,Tachymarptis aequatorialis
530,Little Swift,Apus affinis
531,Horus Swift,Apus horus
532,White-rumped Swift,Apus caffer
533,Scarce Swift,Schoutedenapus myoptilus
534,African Palm Swift,Cypsiurus parvus
535,Böhm's Spinetail,Neafrapus boehmi
536,Mottled Spinetail,Telacanthura ussheri
537,Black Saw-wing,Psalidoprocne pristoptera
538,White-headed Saw-wing,Psalidoprocne albiceps
539,Blue Swallow,Hirundo atrocaerulea
540,Barn Swallow,Hirundo rustica
541,Angolan Swallow,Hirundo angolensis
542,White-throated Swallow,Hirundo albigularis
543,Wire-tailed Swallow,Hirundo smithii
544,Pearl-breasted Swallow,Hirundo dimidiata
545,Common House Martin,Delichon urbicum
546,Grey-rumped Swallow,Pseudhirundo griseopyga
547,Lesser Striped Swallow,Cecropis abyssinica
548,Greater Striped Swallow,Cecropis cucullata
549,African Red-rumped Swallow,Cecropis melanocrissus
550,Mosque Swallow,Cecropis senegalensis
551,Red-breasted Swallow,Cecropis semirufa
552,South African Cliff Swallow,Petrochelidon spilodera
553,Mascarene Martin,Phedina borbonica
554,Rock Martin,Ptyonoprogne fuligula
555,Banded Martin,Neophedina cincta
556,Sand Martin,Riparia riparia
557,Brown-throated Martin,Riparia paludicola
558,African Pitta,Pitta angolensis
559,Common Myna,Acridotheres tristis
560,Common Starling,Sturnus vulgaris
561,Wattled Starling,Creatophora cinerea
562,Rosy Starling,Pastor roseus
563,Pied Starling,Lamprotornis bicolor
564,Red-winged Starling,Onychognathus morio
565,Pale-winged Starling,Onychognathus nabouroup
566,Meves's Starling,Lamprotornis mevesii
567,Burchell's Starling,Lamprotornis australis
568,Cape Glossy Starling,Lamprotornis nitens
569,Greater Blue-eared Starling,Lamprotornis chalybaeus
570,Miombo Blue-eared Starling,Lamprotornis elisabeth
571,Black-bellied Starling,Notopholia corusca
572,Sharp-tailed Starling,Lamprotornis acuticaudus
573,Violet-backed Starling,Cinnyricinclus leucogaster
574,Arrow-marked Babbler,Turdoides jardineii
575,Hartlaub's Babbler,Turdoides hartlaubii
576,Black-faced Babbler,Turdoides melanops
577,Southern Pied Babbler,Turdoides bicolor
578,Bare-cheeked Babbler,Turdoides gymnogenys
579,Groundscraper Thrush,Turdus litsitsirupa
580,Spotted Ground Thrush,Geokichla guttata
581,Orange Ground Thrush,Geokichla gurneyi
582,Kurrichane Thrush,Turdus libonyana
583,Karoo Thrush,Turdus smithi
584,Olive Thrush,Turdus olivaceus
585,Collared Palm Thrush,Cichladusa arquata
586,Rufous-tailed Palm Thrush,Cichladusa ruficauda
587,Cape Rock Thrush,Monticola rupestris
588,Sentinel Rock Thrush,Monticola explorator
589,Short-toed Rock Thrush,Monticola brevipes
590,Miombo Rock Thrush,Monticola angolensis
591,Cape Rockjumper,Chaetops frenatus
592,Drakensberg Rockjumper,Chaetops aurantius
593,Rockrunner,Achaetops pycnopygius
594,Thrush Nightingale,Luscinia luscinia
595,White-chested Alethe,Chamaetylas fuelleborni
596,East Coast Akalat,Sheppardia gunningi
597,White-starred Robin,Pogonocichla stellata
