birdId,birdName,scientificName,found_in_xenocanto,xenocanto_recordings
388,Gabar Goshawk,Micronisus gabar,Not searched,
389,Ovambo Sparrowhawk,Accipiter ovampensis,Not searched,
390,Shikra,Tachyspiza badia,Not searched,
391,Little Sparrowhawk,Tachyspiza minulla,Not searched,
392,African Goshawk,Aerospiza tachiro,Not searched,
393,Rufous-breasted Sparrowhawk,Accipiter rufiventris,Not searched,
394,Black Sparrowhawk,Astur melanoleucus,Not searched,
395,Peregrine Falcon,Falco peregrinus,Not searched,
396,Lanner Falcon,Falco biarmicus,Not searched,
397,Eleonora's Falcon,Falco eleonorae,Not searched,
398,Taita Falcon,Falco fasciinucha,Not searched,
399,African Hobby,Falco cuvierii,Not searched,
400,Eurasian Hobby,Falco subbuteo,Not searched,
401,Amur Falcon,Falco amurensis,Not searched,
402,Red-footed Falcon,Falco vespertinus,Not searched,
403,Red-necked Falcon,Falco chicquera,Not searched,
404,Sooty Falcon,Falco concolor,Not searched,
405,Dickinson's Kestrel,Falco dickinsoni,Not searched,
406,Grey Kestrel,Falco ardosiaceus,Not searched,
407,Lesser Kestrel,Falco naumanni,Not searched,
408,Rock Kestrel,Falco rupicolus,Not searched,
409,Greater Kestrel,Falco rupicoloides,Not searched,
410,Pygmy Falcon,Polihierax semitorquatus,Not searched,
411,Western Barn Owl,Tyto alba,Not searched,
412,African Grass Owl,Tyto capensis,Not searched,
413,Marsh Owl,Asio capensis,Not searched,
414,African Wood Owl,Strix woodfordii,Not searched,
415,African Barred Owlet,Glaucidium capense,Not searched,
416,Pearl-spotted Owlet,Glaucidium perlatum,Not searched,
417,Southern White-faced Owl,Ptilopsis granti,Not searched,
418,African Scops Owl,Otus senegalensis,Not searched,
419,Spotted Eagle-Owl,Bubo africanus,Not searched,
420,Cape Eagle-Owl,Bubo capensis,Not searched,
421,Verreaux's Eagle-Owl,Ketupa lactea,Not searched,
422,Pel's Fishing Owl,Scotopelia peli,Not searched,
423,European Nightjar,Caprimulgus europaeus,Not searched,
424,Rufous-cheeked Nightjar,Caprimulgus rufigena,Not searched,
425,Fiery-necked Nightjar,Caprimulgus pectoralis,Not searched,
426,Square-tailed Nightjar,Caprimulgus fossii,Not searched,
427,Swamp Nightjar,Caprimulgus natalensis,Not searched,
428,Freckled Nightjar,Caprimulgus tristigma,Not searched,
429,Pennant-winged Nightjar,Caprimulgus vexillarius,Not searched,
430,Rock Dove,Columba livia,Not searched,
431,Speckled Pigeon,Columba guinea,Not searched,
432,African Olive Pigeon,Columba arquatrix,Not searched,
433,Eastern Bronze-naped Pigeon,Columba delegorguei,Not searched,
434,Lemon Dove,Columba larvata,Not searched,
435,Laughing Dove,Spilopelia senegalensis,Not searched,
436,Cape Turtle Dove,Streptopelia capicola,Not searched,
437,Red-eyed Dove,Streptopelia semitorquata,Not searched,
438,African Mourning Dove,Streptopelia decipiens,Not searched,
439,European Turtle Dove,Streptopelia turtur,Not searched,
440,Emerald-spotted Wood Dove,Turtur chalcospilos,Not searched,
441,Blue-spotted Wood Dove,Turtur afer,Not searched,
442,Tambourine Dove,Turtur tympanistria,Not searched,
443,Namaqua Dove,Oena capensis,Not searched,
444,African Green Pigeon,Treron calvus,Not searched,
445,Knysna Turaco,Tauraco corythaix,Not searched,
446,Livingstone's Turaco,Tauraco livingstonii,Not searched,
447,Schalow's Turaco,Tauraco schalowi,Not searched,
448,Purple-crested Turaco,Gallirex porphyreolophus,Not searched,
449,Ross's Turaco,Tauraco rossae,Not searched,
450,Grey Go-away-bird,Crinifer concolor,Not searched,
451,Burchell's Coucal,Centropus burchellii,Not searched,
452,White-browed Coucal,Centropus superciliosus,Not searched,
453,Senegal Coucal,Centropus senegalensis,Not searched,
454,Coppery-tailed Coucal,Centropus cupreicaudus,Not searched,
455,Black Coucal,Centropus grillii,Not searched,
456,Green Malkoha,Ceuthmochares australis,Not searched,
457,Red-chested Cuckoo,Cuculus solitarius,Not searched,
458,African Cuckoo,Cuculus gularis,Not searched,
459,Common Cuckoo,Cuculus canorus,Not searched,
460,Lesser Cuckoo,Cuculus poliocephalus,Not searched,
461,Madagascan Cuckoo,Cuculus rochii,Not searched,
462,Black Cuckoo,Cuculus clamosus,Not searched,
463,Barred Long-tailed Cuckoo,Cercococcyx montanus,Not searched,
464,Thick-billed Cuckoo,Pachycoccyx audeberti,Not searched,
465,Jacobin Cuckoo,Clamator jacobinus,Not searched,
466,Levaillant's Cuckoo,Clamator levaillantii,Not searched,
467,Great Spotted Cuckoo,Clamator glandarius,Not searched,
468,Diederik Cuckoo,Chrysococcyx caprius,Not searched,
469,Klaas's Cuckoo,Chrysococcyx klaas,Not searched,
470,African Emerald Cuckoo,Chrysococcyx cupreus,Not searched,
471,Lilac-breasted Roller,Coracias caudatus,Not searched,
472,Racket-tailed Roller,Coracias spatulatus,Not searched,
473,European Roller,Coracias garrulus,Not searched,
474,Purple Roller,Coracias naevius,Not searched,
475,Broad-billed Roller,Eurystomus glaucurus,Not searched,
476,Giant Kingfisher,Megaceryle maxima,Not searched,
477,Pied Kingfisher,Ceryle rudis,Not searched,
478,Half-collared Kingfisher,Alcedo semitorquata,Not searched,
479,Malachite Kingfisher,Corythornis cristatus,Not searched,
480,African Pygmy Kingfisher,Ispidina picta,Not searched,
481,Woodland Kingfisher,Halcyon senegalensis,Not searched,
482,Mangrove Kingfisher,Halcyon senegaloides,Not searched,
483,Brown-hooded Kingfisher,Halcyon albiventris,Not searched,
484,Striped Kingfisher,Halcyon chelicuti,Not searched,
485,Grey-headed Kingfisher,Halcyon leucocephala,Not searched,
486,Swallow-tailed Bee-eater,Merops hirundineus,Not searched,
487,Little Bee-eater,Merops pusillus,Not searched,
488,Böhm's Bee-eater,Merops boehmi,Not searched,
489,White-throated Bee-eater,Merops albicollis,Not searched,
490,European Bee-eater,Merops apiaster,Not searched,
491,Blue-cheeked Bee-eater,Merops persicus,Not searched,
492,Olive Bee-eater,Merops superciliosus,Not searched,
493,White-fronted Bee-eater,Merops bullockoides,Not searched,
